"nom_table";"TEC_COL";"CPT_COP_NUM";"DDP_COD";"DDP_LIB";"DDP_SPE_COD";"DDP_GDE_COD";"DDP_LHS"
"IR_DDP_V";0;NA;680;"EDUCATION GENERALE OU PROFESSIONNELLE ET SOINS SPECIALISES POUR ENFANTS DEFICIENTS MOTEURS";82;8;2
"IR_DDP_V";0;NA;681;"EDUCATION GENERALE ET PROFESSIONNELLE ET SOINS SPECIALISES POUR ENFANTS DEFICIENTS VISUELS";83;8;2
"IR_DDP_V";0;NA;682;"EDUCATION GENERALE OU PROFESSIONNELLE POUR AVEUGLES";83;8;2
"IR_DDP_V";0;NA;683;"EDUCATION GENERALE OU PROFESSIONNELLE POUR AMBLYOPES";83;8;2
"IR_DDP_V";0;NA;684;"EDUCATION GENERALE ET PROFESSIONNELLE ET SOINS SPECIALISES POUR ENFANTS DEFICIENTS AUDITIFS";83;8;2
"IR_DDP_V";0;NA;685;"EDUCATION GENERALE OU PROFESSIONNELLE POUR SOURDS";83;8;2
"IR_DDP_V";0;NA;686;"EDUCATION GENERALE OU PROFESSIONNELLE POUR MALENTENDANTS";83;8;2
"IR_DDP_V";0;NA;687;"EDUCATION GENERALE OU PROFESSIONNELLE POUR DEFICIENTS VISUELS ET AUDITIFS";83;8;2
"IR_DDP_V";0;NA;688;"ACCUEIL TEMPORAIRE EN MAISON D ACCUEIL SPECIALISE";92;9;2
"IR_DDP_V";0;NA;689;"ACCUEIL TEMPORAIRE EN FOYER D HEBERGEMENT POUR ADULTES HANDICAPES";93;9;2
"IR_DDP_V";0;NA;690;"ACTIVITE DES ETABLISSEMENTS ET SERVICES EXPERIMENTAUX EN FAVEUR DE L ENFANCE HANDICAPEE";86;8;2
"IR_DDP_V";0;NA;691;"ACTIVITE DES ETABLISSEMENTS ET SERVICES EXPERIMENTAUX EN FAVEUR DES ADULTES HANDICAPES";93;9;2
"IR_DDP_V";0;NA;694;"PRESTATIONS DES ETABLISSEMENTS ET DES SERVICES EXPERIMENTAUX EN FAVEUR DES ADULTES AUTRES QU HANDICAPES ET PERSONNES AGEES";110;11;2
"IR_DDP_V";0;NA;698;"ACCUEIL TEMPORAIRE AU FOYER DE VIE POUR ADULTES HANDICAPES";93;9;2
"IR_DDP_V";0;NA;715;"SURVEILLANCE PAR MONITORAGE EN VUE DE PREVENIR LA MORT SUBITE ET INEXPLIQUEE DU NOURRISSON";11;1;1
"IR_DDP_V";0;NA;717;"SOINS HAUTEMENT SPECIALISES EN MEDECINE";12;1;1
"IR_DDP_V";0;NA;718;"SOINS HAUTEMENT SPECIALISES EN CHIRURGIE";22;2;1
"IR_DDP_V";0;NA;719;"SOINS HAUTEMENT SPECIALISES EN GYNECOLOGIE, OBSTETRIQUE";30;3;1
"IR_DDP_V";0;NA;720;"REANIMATION NEONATALE ET PEDIATRIQUE";13;1;1
"IR_DDP_V";0;NA;721;"RADIOTHERAPIE METABOLIQUE (INGESTION DE SOURCE)";12;1;1
"IR_DDP_V";0;NA;722;"MALADIES INFECTIEUSES TROPICALES ET EXOTIQUES INDIFFERENCIEES";12;1;1
"IR_DDP_V";0;NA;723;"AUTODIALYSE";14;1;1
"IR_DDP_V";0;NA;728;"CARDIOLOGIE INFANTILE";11;1;1
"IR_DDP_V";0;NA;729;"NEPHROLOGIE INFANTILE";11;1;1
"IR_DDP_V";0;NA;730;"CARCINOLOGIE INFANTILE";11;1;1
"IR_DDP_V";0;NA;731;"AUTRES SPECIALITES PEDIATRIQUES";11;1;1
"IR_DDP_V";0;NA;732;"HEPATOLOGIE";12;1;1
"IR_DDP_V";0;NA;733;"GASTRO-ENTEROLOGIE";12;1;1
"IR_DDP_V";0;NA;734;"REANIMATION CHIRURGICALE EN PEDIATRIE";23;2;1
"IR_DDP_V";0;NA;735;"REANIMATION CHIRURGICALE POUR ADULTE";23;2;1
"IR_DDP_V";0;NA;736;"TRAUMATOLOGIE";22;2;1
"IR_DDP_V";0;NA;737;"CONVALESCENCE ET READAPTATION";42;4;1
"IR_DDP_V";0;NA;738;"REEDUCATION FONCTIONNELLE ET READAPTATION MOTRICE-ORIENTATION RHUMATOLOGIQUE";43;4;1
"IR_DDP_V";0;NA;739;"REEDUCATION FONCTIONNELLE ET READAPTATION MOTRICE-ORIENTATION TRAUMATOLOGIE";43;4;1
"IR_DDP_V";0;NA;742;"ACCUEIL ET TRAITEMENT DES URGENCES SPECIALISEES (INNOVATIONS SOCIALES)";11;1;1
"IR_DDP_V";0;NA;743;"IMMUNO-HEMATOLOGIE";12;1;1
"IR_DDP_V";0;NA;744;"IMMUNO-SEROLOGIE";12;1;1
"IR_DDP_V";0;NA;750;"TOMOGRAPHIE";16;1;1
"IR_DDP_V";0;NA;753;"IMAGERIE PAR RESONANCE MAGNETIQUE (IRMN)";16;1;1
"IR_DDP_V";0;NA;796;"DIALYSE";14;1;1
"IR_DDP_V";0;NA;797;"HEMODIALYSE ET HEMOFILTRATION POUR CHRONIQUES ADULTES";14;1;1
"IR_DDP_V";0;NA;798;"HEMODIALYSE ET HEMOFILTRATION POUR CHRONIQUES ENFANTS";14;1;1
"IR_DDP_V";0;NA;799;"ASSISTANCE VENTILATOIRE AVEC PROTHESE EXTRA-THORACIQUE  (INSUFFISANTS RESPIRATOIRES)";15;1;1
"IR_DDP_V";0;NA;800;"ASSISTANCE VENTILATOIRE PAR PRESSION POSITIVE CONTINUE OU AUTRES TECHNIQUES PARTICULIERES AGREEES  (INSUFFISANTS RESPIRATOIRES)";15;1;1
"IR_DDP_V";0;NA;801;"INSULINOTHERAPIE";11;1;1
"IR_DDP_V";0;NA;803;"PSYCHIATRIE POUR ARRIERES PROFONDS";60;6;1
"IR_DDP_V";0;NA;806;"ATELIER THERAPEUTIQUE POUR ADULTES";60;6;1
"IR_DDP_V";0;NA;807;"ATELIER THERAPEUTIQUE POUR ADOLESCENTS";60;6;1
"IR_DDP_V";0;NA;808;"SECTORISATION PSYCHIATRIQUE EN MILIEU PENITENCIAIRE";60;6;1
"IR_DDP_V";0;NA;809;"HEMATOLOGIE PEDIATRIQUE";11;1;1
"IR_DDP_V";0;NA;825;"SOINS ET ACCOMPAGNEMENT DES MALADES EN PHASE TERMINALE (SOINS PALLIATIFS)";11;1;1
"IR_DDP_V";0;NA;826;"TRAITEMENTS SPECIALISES CONTRE LA DOULEUR";11;1;1
"IR_DDP_V";0;NA;827;"NUTRITION ENTERALE A DOMICILE";11;1;1
"IR_DDP_V";0;NA;828;"CURE THERMALE POUR MALADIES CARDIO-ARTERIELLES";44;4;1
"IR_DDP_V";0;NA;829;"CURE THERMALE EN NEUROLOGIE";44;4;1
"IR_DDP_V";0;NA;830;"CURE THERMALE POUR AFFECTIONS PSYCHOSOMATIQUES";44;4;1
"IR_DDP_V";0;NA;831;"CURE THERMALE EN PHLEBOLOGIE";44;4;1
"IR_DDP_V";0;NA;832;"CURE THERMALE POUR TROUBLES DU DEVELOPPEMENT CHEZ L ENFANT";44;4;1
"IR_DDP_V";0;NA;833;"CURE THERMALE EN GYNECOLOGIE";44;4;1
"IR_DDP_V";0;NA;834;"CURE THERMALE POUR MALADIES DE L APPAREIL DIGESTIF ET MALADIES METABOLIQUES";44;4;1
"IR_DDP_V";0;NA;851;"EDUCATION PRECOCE POUR AUTRE CATEGORIE DE CLIENTELE";85;8;2
"IR_DDP_V";0;NA;852;"EDUCATION PRECOCE POUR TOUS TYPES DE DEFICIENCES (SAI)";85;8;2
"IR_DDP_V";0;NA;853;"ACQUISITION DE L'AUTONOMIE ET /OU INTEGRATION SCOLAIRE POUR ENFANTS DEFICIENTS AUDITIFS";85;8;2
"IR_DDP_V";0;NA;854;"ACQUISITION DE L'AUTONOMIE ET/OU INTEGRATION SCOLAIRE POUR ENFANTS DEFICIENTS VISUELS";85;8;2
"IR_DDP_V";0;NA;855;"ACQUISITION DE L'AUTONOMIE ET/OU INTEGRATION SCOLAIRE POUR ENFANTS DEFICIENTS MOTEURS";85;8;2
"IR_DDP_V";0;NA;856;"ACQUISITION DE L'AUTONOMIE ET/OU INTEGRATION SCOLAIRE POUR ENFANTS POLYHANDICAPES";85;8;2
"IR_DDP_V";0;NA;857;"ACQUISITION DE L'AUTONOMIE ET/OU INTEGRATION SCOLAIRE POUR ENFANTS DEFICIENTS INTELLECTUELS";85;8;2
"IR_DDP_V";0;NA;858;"ACQUISITION DE L'AUTONOMIE ET/OU INTEGRATION SCOLAIRE POUR AUTRE CATEGORIE DE CLIENTELE";85;8;2
"IR_DDP_V";0;NA;859;"ACQUISITION DE L'AUTONOMIE ET/OU INTEGRATION SCOLAIRE POUR TOUS TYPES DE DEFICIENCES (SAI)";85;8;2
"IR_DDP_V";0;NA;897;"HEBERGEMENT OUVERT EN FOYER POUR ADULTES HANDICAPES";93;9;2
"IR_DDP_V";0;NA;901;"EDUCATION GENERALE ET SOINS SPECIALISES POUR ENFANTS HANDICAPES";86;8;2
"IR_DDP_V";0;NA;902;"EDUCATION PROFESSIONNELLE ET SOINS SPECIALISES POUR ENFANTS HANDICAPES";86;8;2
"IR_DDP_V";0;NA;924;"HEBERGEMENT EN MAISON DE RETRAITE";101;10;2
"IR_DDP_V";0;NA;925;"HEBERGEMENT EN LOGEMENT FOYER POUR PERSONNES AGEES SEULES (F1)";101;10;2
"IR_DDP_V";0;NA;926;"HEBERGEMENT EN LOGEMENT FOYER POUR PERSONNES AGEES PAR COUPLES (F2)";101;10;2
"IR_DDP_V";0;NA;927;"HEBERGEMENT EN LOGEMENT FOYER POUR PERSONNES AGEES (F1 BIS)";101;10;2
"IR_DDP_V";0;NA;936;"HEBERGEMENT DE TYPE FOYER DE VIE POUR ADULTES HANDICAPES";93;9;2
"IR_DDP_V";0;NA;938;"HEBERGEMENT EN HOSPICE";101;10;2
"IR_DDP_V";0;NA;939;"HEBERGEMENT DE TYPE FOYER (A DOUBLE TARIFICATION) POUR ADULTES HANDICAPES";93;9;2
"IR_DDP_V";0;NA;957;"SOINS PALLIATIFS EN SSR";42;4;1
"IR_DDP_V";0;NA;958;"SECURITE ET ENVIRONNEMENT HOSPITALIER";71;7;1
"IR_DDP_V";0;NA;960;"UNITE COGNITIVO-COMPORTEMENTALE ALZHEIMER (UCC)";41;4;1
"IR_DDP_V";0;NA;969;"FORFAITS ANNUELS SSR";72;7;1
"IR_DDP_V";0;NA;970;"TAA AUTORISATION DE SUPPLEMENT REA";71;7;1
"IR_DDP_V";0;NA;971;"TAA AUTORISATION DE SUPPLEMENT STF";71;7;1
"IR_DDP_V";0;NA;972;"TAA AUTORISATION DE SUPPLEMENT SRC";71;7;1
"IR_DDP_V";0;NA;973;"TAA AUTORISATION DE SUPPLEMENT SRA";71;7;1
"IR_DDP_V";0;NA;974;"TAA AUTORISATION DE SUPPLEMENT SSC";71;7;1
"IR_DDP_V";0;NA;975;"TAA AUTORISATION DE SUPPLEMENT NN1";71;7;1
"IR_DDP_V";0;NA;976;"TAA AUTORISATION DE SUPPLEMENT NN2";71;7;1
"IR_DDP_V";0;NA;977;"TAA AUTORISATION DE SUPPLEMENT NN3";71;7;1
"IR_DDP_V";0;NA;978;"TAA PRELEVEMENT D ORGANE";22;2;1
"IR_DDP_V";0;NA;979;"TAA FORFAIT ANNUEL";72;7;1
"IR_DDP_V";0;NA;980;"RETROCESSION PHARMACIE";71;7;1
"IR_DDP_V";0;NA;981;"DISPOSITIFS IMPLANTABLES EN SUS DU GHS";71;7;1
"IR_DDP_V";0;NA;982;"TAA DISCIPLINE POUR AUTORISATION DE SUPPLEMENT : REP";71;7;1
"IR_DDP_V";1;NA;999;"VALEUR INCONNUE";121;12;9
"IR_DDP_V";0;NA;835;"CURE THERMALE POUR MALADIES DE L APPAREIL URINAIRE ET MALADIES METABOLIQUES";44;4;1
"IR_DDP_V";0;NA;836;"PREPARATION A LA VIE SOCIALE POUR ADOLESCENTS HANDICAPES";86;8;2
"IR_DDP_V";0;NA;837;"PREPARATION A LA VIE SOCIALE POUR ADOLESCENTS HANDICAPES MOTEURS GRAVES";82;8;2
"IR_DDP_V";0;NA;838;"EDUCATION PRECOCE POUR ENFANTS HANDICAPES";85;8;2
"IR_DDP_V";0;NA;839;"ACQUISITION DE L AUTONOMIE ET/OU INTEGRATION SCOLAIRE POUR ENFANTS HANDICAPES";85;8;2
"IR_DDP_V";0;NA;840;"PREPARATION A LA VIE SOCIALE POUR ADOLESCENTS DEFICIENTS AUDITIFS";82;8;2
"IR_DDP_V";0;NA;841;"PREPARATION A LA VIE SOCIALE POUR ADOLESCENTS DEFICIENTS VISUELS";82;8;2
"IR_DDP_V";0;NA;842;"PREPARATION A LA VIE SOCIALE POUR ADOLESCENTS POLYHANDICAPES";83;8;2
"IR_DDP_V";0;NA;843;"PREPARATION A LA VIE SOCIALE POUR ADOLESCENTS DEFICIENTS INTELLECTUELS";83;8;2
"IR_DDP_V";0;NA;844;"PREPARATION A LA VIE SOCIALE POUR AUTRE CATEGORIE DE CLIENTELE";83;8;2
"IR_DDP_V";0;NA;845;"PREPARATION A LA VIE SOCIALE POUR TOUS TYPES DE DEFICIENCES (SAI)";83;8;2
"IR_DDP_V";0;NA;846;"EDUCATION PRECOCE POUR ENFANTS DEFICIENTS AUDITIFS";85;8;2
"IR_DDP_V";0;NA;847;"EDUCATION PRECOCE POUR ENFANTS DEFICIENTS VISUELS";85;8;2
"IR_DDP_V";0;NA;848;"EDUCATION PRECOCE POUR ENFANTS DEFICIENTS MOTEURS";85;8;2
"IR_DDP_V";0;NA;849;"EDUCATION PRECOCE POUR ENFANTS POLYHANDICAPES";85;8;2
"IR_DDP_V";0;NA;850;"EDUCATION PRECOCE POUR ENFANTS DEFICIENTS INTELLECTUELS";85;8;2
"IR_DDP_V";0;NA;283;"EDUCATION GENERALE ET SOINS POUR DEBILES LEGERS";81;8;2
"IR_DDP_V";0;NA;284;"EDUCATION GENERALE ET SOINS POUR DEBILES LEGERS ET MOYENS";81;8;2
"IR_DDP_V";0;NA;285;"EDUCATION GENERALE ET SOINS POUR DEBILES MOYENS ET PROFONDS";81;8;2
"IR_DDP_V";0;NA;286;"EDUCATION PROFESSIONNELLE ET SOINS POUR DEBILES PROFONDS";81;8;2
"IR_DDP_V";0;NA;287;" EDUCATION PROFESSIONNELLE ET SOINS POUR DEBILES MOYENS";81;8;2
"IR_DDP_V";0;NA;288;"EDUCATION PROFESSIONNELLE ET SOINS POUR DEBILES LEGERS";81;8;2
"IR_DDP_V";0;NA;289;"EDUCATION PROFESSIONNELLE ET SOINS POUR DEBILES LEGERS ET MOYENS";81;8;2
"IR_DDP_V";0;NA;290;"EDUCATION PROFESSIONNELLE ET SOINS POUR DEBILES MOYENS ET PROFONDS";81;8;2
"IR_DDP_V";0;NA;291;" EDUCATION GENERALE ET SOINS POUR ENFANTS CARACTERIELS";81;8;2
"IR_DDP_V";0;NA;292;"EDUCATION GENERALE ET SOINS POUR ENFANTS POLYHANDICAPES";81;8;2
"IR_DDP_V";0;NA;0;"SANS OBJET";0;0;0
"IR_DDP_V";0;NA;35;"SCANNOGRAPHIE";16;1;1
"IR_DDP_V";0;NA;38;"RADIOTHERAPIE POLYVALENTE";16;1;1
"IR_DDP_V";0;NA;39;"RADIOTHERAPIE EXTERNE (CESIUM-COBALT)";12;1;1
"IR_DDP_V";0;NA;43;"CURIETHERAPIE";12;1;1
"IR_DDP_V";0;NA;76;"IMMUNOLOGIE (SANS AUTRE INDICATION)";12;1;1
"IR_DDP_V";0;NA;101;"MEDECINE GENERALE (OU MEDECINE INTERNE)";11;1;1
"IR_DDP_V";0;NA;102;"MALADIES INFECTIEUSES ET PARASITAIRES";11;1;1
"IR_DDP_V";0;NA;103;"TOXICOLOGIE (ANTI-POISON)";12;1;1
"IR_DDP_V";0;NA;104;"REANIMATION MEDICALE POUR ADULTE";13;1;1
"IR_DDP_V";0;NA;105;"REANIMATION POLYVALENTE";13;1;1
"IR_DDP_V";0;NA;106;"SURVEILLANCE MEDICALE CONTINUE";13;1;1
"IR_DDP_V";0;NA;107;"SURVEILLANCE CONTINUE POLYVALENTE (MEDICALE ET CHIRURGICALE NON COMPRIS SOINS INTENSIFS)";13;1;1
"IR_DDP_V";0;NA;108;"PEDIATRIE INDIFFERENCIEE";11;1;1
"IR_DDP_V";0;NA;109;"PEDIATRIE ENFANTS ET ADOLESCENTS";11;1;1
"IR_DDP_V";0;NA;110;"PEDIATRIE NOUVEAUX-NES - NOURRISSONS INDIFFERENCIES";11;1;1
"IR_DDP_V";0;NA;111;"PEDIATRIE NOURRISSONS";11;1;1
"IR_DDP_V";0;NA;112;"NEONATOLOGIE";11;1;1
"IR_DDP_V";0;NA;113;"MEDECINE GERIATRIQUE";11;1;1
"IR_DDP_V";0;NA;114;"SPECIALITES MEDICALES INDIFFERENCIEES";12;1;1
"IR_DDP_V";0;NA;115;"ALLERGOLOGIE";12;1;1
"IR_DDP_V";0;NA;116;"DERMATOLOGIE - VENEROLOGIE INDIFFERENCIEES";12;1;1
"IR_DDP_V";0;NA;117;"DERMATOLOGIE";12;1;1
"IR_DDP_V";0;NA;118;"VENEROLOGIE";12;1;1
"IR_DDP_V";0;NA;119;"ENDOCRINOLOGIE-DIABETOLOGIE-NUTRITION-METABOLISME INDIFFERENCIES";12;1;1
"IR_DDP_V";0;NA;120;"ENDOCRINOLOGIE";12;1;1
"IR_DDP_V";0;NA;121;"DIABETOLOGIE";12;1;1
"IR_DDP_V";0;NA;122;"NUTRITION METABOLISME";12;1;1
"IR_DDP_V";0;NA;123;"HEMATOLOGIE ET MALADIES DU SANG";12;1;1
"IR_DDP_V";0;NA;124;"HEPATO-GASTRO-ENTEROLOGIE";12;1;1
"IR_DDP_V";0;NA;125;"MALADIES TROPICALES ET EXOTIQUES";12;1;1
"IR_DDP_V";0;NA;126;"MEDECINE CARCINOLOGIQUE";12;1;1
"IR_DDP_V";0;NA;127;"MEDECINE CARDIO-VASCULAIRE";12;1;1
"IR_DDP_V";0;NA;129;"NEUROLOGIE";12;1;1
"IR_DDP_V";0;NA;130;"PNEUMOLOGIE INDIFFERENCIEE";12;1;1
"IR_DDP_V";0;NA;131;"PNEUMOLOGIE NON TUBERCULEUSE";12;1;1
"IR_DDP_V";0;NA;132;"PHTISIOLOGIE";12;1;1
"IR_DDP_V";0;NA;133;"RHUMATOLOGIE";12;1;1
"IR_DDP_V";0;NA;134;"RADIOTHERAPIE ET MEDECINE NUCLEAIRE INDIFFERENCIEES";12;1;1
"IR_DDP_V";0;NA;135;"RADIOTHERAPIE";12;1;1
"IR_DDP_V";0;NA;136;"MEDECINE NUCLEAIRE";12;1;1
"IR_DDP_V";0;NA;137;"CHIRURGIE GENERALE";21;2;1
"IR_DDP_V";0;NA;138;"CHIRURGIE INFANTILE INDIFFERENCIEE";21;2;1
"IR_DDP_V";0;NA;139;"CHIRURGIE ENFANTS ET ADOLESCENTS";21;2;1
"IR_DDP_V";0;NA;140;"CHIRURGIE NOUVEAUX-NES ET NOURRISSONS";21;2;1
"IR_DDP_V";0;NA;141;"REANIMATION CHIRURGICALE INDIFFERENCIEE (Y COMPRIS SOINS INTENSIFS)";23;2;1
"IR_DDP_V";0;NA;142;"SURVEILLANCE CONTINUE EN CHIRURGIE (NON COMPRIS SOINS INTENSIFS)";23;2;1
"IR_DDP_V";0;NA;143;"SPECIALITES CHIRURGICALES INDIFFERENCIEES";22;2;1
"IR_DDP_V";0;NA;144;"CHIRURGIE CARCINOLOGIE";22;2;1
"IR_DDP_V";0;NA;145;"CHIRURGIE DES GRANDS BRULES";22;2;1
"IR_DDP_V";0;NA;146;"CHIRURGIE DIGESTIVE";22;2;1
"IR_DDP_V";0;NA;147;"CHIRURGIE THORACIQUE ET CARDIO-VASCULAIRE INDIFFERENCIEES";22;2;1
"IR_DDP_V";0;NA;148;"CHIRURGIE THORACIQUE PULMONAIRE";22;2;1
"IR_DDP_V";0;NA;149;"CHIRURGIE VASCULAIRE";22;2;1
"IR_DDP_V";0;NA;150;"CHIRURGIE CARDIO-VASCULAIRE";22;2;1
"IR_DDP_V";0;NA;151;"NEURO-CHIRURGIE";22;2;1
"IR_DDP_V";0;NA;152;"ORTHOPEDIE-TRAUMATOLOGIE-CHIRURGIE PLASTIQUE REPARATRICE INDIFFERENCIEES";22;2;1
"IR_DDP_V";0;NA;153;"ORTHOPEDIE-TRAUMATOLOGIE";22;2;1
"IR_DDP_V";0;NA;154;"CHIRURGIE PLASTIQUE ET REPARATRICE";22;2;1
"IR_DDP_V";0;NA;155;"O.R.L. ET OPHTALMOLOGIE INDIFFERENCIEES";22;2;1
"IR_DDP_V";0;NA;156;"O.R.L.";22;2;1
"IR_DDP_V";0;NA;157;"OPHTALMOLOGIE";22;2;1
