UCD_UCD_COD;UCD_ETA_COD;RSV_HOS_COD;PRE_HOS_COD;PHA_MED_PIH;UCD_SVP_COD;UCD_PSP_TOP;UCD_SPE_LIB;UCD_RCP_LI1;UCD_RCP_LI2;UCD_RCP_LI3;PHA_FRM_COD;PHA_FRM_LIB;PHA_FRC_COD;PHA_FRC_LIB;PHA_SUB_DOS;PHA_DOS_UNI;UCD_VOI_ADM;PHA_ATC_CLA;PHA_ATC_LIB;PHA_EPH_COD;PHA_EPH_LIB;UCD_INS_DTD;UCD_INS_DTF;UCD_LIS_TOP;INS_MTF_LIB
0000009247357;D;N;N;O;N;N;FUZEON 90 MG/ML PDR ET SOL INJ;FUZEON 90 MG/ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;J05AX07;ENFUVIRTIDE;J05C4;MEDICAMENTS CONTRE LE VIH INHIBITEURS DE FUSION/D'ENTREE;27DEC2004:00:00:00;;1;
0000009247682;S;N;N;N;N;N;NALBUPHINE AGT 20 MG SOL INJ;NALBUPHINE AGUETTANT 20 MG/2 ML, SOLUTION INJECTABLE;;;48;SOLUTION;295;SOLUTION INJECTABLE;80.0000;MG;INJECTABLE;N02AF02;NALBUFINE;N02A;NARCOTIQUES;29JUL2004:00:00:00;;1;
0000009248144;D;N;N;O;N;N;OCTAFIX 1000 UI PDR ET SOL INJ;OCTAFIX 1000 UI/10 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;87;SOLVANT;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD04;FACTEUR IX DE COAGULATION;B02D2;FACTEURS II, VII, IX ET X;19NOV2005:00:00:00;;2;
0000009248150;D;N;N;O;N;N;OCTAFIX 500 UI PDR ET SOL INJ;OCTAFIX 500 UI/5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;87;SOLVANT;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD04;FACTEUR IX DE COAGULATION;B02D2;FACTEURS II, VII, IX ET X;19NOV2005:00:00:00;;2;
0000009249089;D;N;O;N;N;N;CANCIDAS 50 MG PDR SOL INJ;CANCIDAS 50 MG, POUDRE POUR SOLUTION A DILUER POUR PERFUSION, en flacon;;;44;POUDRE;322;POUDRE POUR SOLUTION POUR PERFUSION;50.0000;MG;INJECTABLE;J02AX04;CASPOFUNGIN;J02A;AGENT SYSTEMIQUE POUR INFECTIONS FONGIQUES;31DEC2005:00:00:00;;1;
0000009249095;NC;N;O;N;N;N;CANCIDAS 50MG PDR INJ ET NE;CANCIDAS 50 MG, POUDRE POUR SOLUTION POUR PERFUSION;;;44;POUDRE;322;POUDRE POUR SOLUTION POUR PERFUSION;50.0000;MG;INJECTABLE;J02AX04;CASPOFUNGIN;J02A;AGENT SYSTEMIQUE POUR INFECTIONS FONGIQUES;31DEC2005:00:00:00;;1;
0000009249103;D;N;O;N;N;N;CANCIDAS 70 MG PDR SOL INJ;CANCIDAS 70 MG, POUDRE POUR SOLUTION A DILUER POUR PERFUSION;;;44;POUDRE;322;POUDRE POUR SOLUTION POUR PERFUSION;;;;J02AX04;CASPOFUNGIN;J02A;AGENT SYSTEMIQUE POUR INFECTIONS FONGIQUES;31DEC2005:00:00:00;;1;
0000009249907;D;O;N;N;N;N;ALDURAZYME 100U/ML SOL INJ FL 5ML;ALDURAZYME 100 U/ML, SOLUTION A DILUER POUR PERFUSION;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;A16AB05;LARONIDASE;A16A;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;11MAY2005:00:00:00;;2;
0000009250187;S;N;N;N;O;O;COPEGUS 200MG CPR;COPEGUS 200 MG, COMPRIME PELLICULE;;;15;COMPRIME;307;NE PAS ECRASER COMPRIME PELLICULE;;;;J05AP01;RIBAVIRINE;J05B1;MEDICAMENTS CONTRE L'HEPATITE VIRALE;27DEC2004:00:00:00;;1;
0000009250572;D;N;O;N;N;N;INVANZ 1G PDR INJ;INVANZ 1 G, POUDRE POUR SOLUTION A DILUER POUR PERFUSION;;;44;POUDRE;584;POUDRE PR SOL A DILUER POUR PERFUSION;;;;J01DH03;ERTAPENEME;J01P2;PENEMS ET CARBAPENEMS;31DEC2005:00:00:00;;1;
0000009250767;S;O;N;N;N;O;INDUCTOS 1.5MG/ML PDR SOL IMPLANT;INDUCTOS 1,5 mg/ml, poudre, solvant et matrice pour matrice implantable;;;44;POUDRE;599;POUDRE POUR SUSPENSION IMPLANTABLE;;;;M05BC01;DIBOTERMINE ALFA;M05X;AUTRE MEDICAMENT DES DESORDRES MUSCULAIRES ET DU SQUELETTE;06JUL2006:00:00:00;31JUL2016:00:00:00;2;RADIATION
0000009250980;S;N;N;O;N;N;RECOMBINATE 1000UI/10ML INJ+BJ;RECOMBINATE 1000 UI, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD02;FACTEUR VIII DE COAGULATION;B02D1;FACTEUR VIII;11MAY2005:00:00:00;31JUL2017:00:00:00;2;RADIATION
0000009250997;S;N;N;O;N;N;RECOMBINATE 250UI/10ML INJ + BJ;RECOMBINATE 250 UI, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD02;FACTEUR VIII DE COAGULATION;B02D1;FACTEUR VIII;11MAY2005:00:00:00;31JUL2017:00:00:00;2;RADIATION
0000009251005;S;N;N;O;N;N;RECOMBINATE 500UI/10ML INJ + BJ;RECOMBINATE 500 UI, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD02;FACTEUR VIII DE COAGULATION;B02D1;FACTEUR VIII;11MAY2005:00:00:00;31JUL2017:00:00:00;2;RADIATION
0000009251092;S;N;N;O;N;O;HUMIRA 40 MG SOL INJ SER;HUMIRA 40 MG, solution injectable en seringue preremplie;;;48;SOLUTION;295;SOLUTION INJECTABLE;2.9000;MG;INJECTABLE;L04AB04;ADALIMUMAB;M01C;ANTIRHUMATISMAUX SPECIFIQUES;17JUN2005:00:00:00;;2;
0000009251235;D;O;N;N;N;O;YTRACIS 1,85GBq/ML SOL FL 2ML;YTRACIS, PRECURSEUR RADIOPHARMACEUTIQUE, EN SOLUTION;;;48;SOLUTION;523;SOLUTION POUR MARQUAGE;;;;V09XX;DIVERS PRODUITS RADIOPHARMACEUTIQUES A USAGE DIAGNOSTIQUE;T01G;RADIOPHARMACEUTIQUES A USAGE DIAGNOSTIC;11MAY2005:00:00:00;;2;
0000009251270;S;N;O;N;O;O;DOXORUBICINE GGA 10MG/5ML SOL;DOXORUBICINE G GAM 10 MG/5 ML, SOLUTION INJECTABLE POUR PERFUSION;;;48;SOLUTION;295;SOLUTION INJECTABLE;;;;L01DB01;DOXORUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;31DEC2005:00:00:00;;1;
0000009251287;S;N;O;N;O;O;DOXORUBICINE GGA 50MG/25ML SOL;DOXORUBICINE G GAM 2 MG/ML, SOLUTION INJECTABLE POUR PERFUSION;;;48;SOLUTION;295;SOLUTION INJECTABLE;;;;L01DB01;DOXORUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;31DEC2005:00:00:00;;1;
0000009251399;D;N;O;N;N;N;ZYVOXID 100MG/5ML GRANULES;ZYVOXID 100 mg/5 ml, granules pour suspension buvable;;;24;GRANULES;442;GRANULES POUR SUSPENSION BUVABLE;;;;J01XX08;LINEZOLIDE;J01X9;TOUS AUTRES ANTIBACTERIENS;31DEC2005:00:00:00;;1;
0000009253381;S;O;N;N;O;N;BUSILVEX 6MG/ML SOL INJ FL 10ML;BUSILVEX 6 MG/ML, SOLUTION A DILUER POUR PERFUSION;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01AB01;BUSULFAN;L01A;AGENTS ALKYLANTS;11MAY2005:00:00:00;;2;
0000009255463;D;N;O;N;N;N;WILFACTIN 1000 UI PDR ET SOL INJ;WILFACTIN 100 UI/ml, poudre et solvant pour solution injectable;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD10;FACTEUR DE WILLEBRAND;B02D9;AUTRES FRACTIONS SANGUINES;11MAY2005:00:00:00;;2;
0000009255486;D;N;O;N;N;N;WILSTART PDR ET SOL INJ;WILSTART, POUDRES ET SOLVANTS POUR SOLUTION INJECTABLE;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD06;FACT VON WILLEBRAND ET FACT VIII DE COAGULATION EN ASSOCIATION;B02D1;FACTEUR VIII;11MAY2005:00:00:00;;2;
0000009255724;D;N;O;N;O;O;COSMEGEN 0,5 MG PDR INJ;COSMEGEN 0,5 MG, POUDRE POUR SOLUTION INJECTABLE;;;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE;;;;L01DA01;DACTINOMYCINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;11MAY2005:00:00:00;;1;
0000009256221;D;N;N;O;N;N;EMTRIVA 10 MG/ML SOL BUV FL 170ML;EMTRIVA 10 mg/ml, solution buvable;;;48;SOLUTION;292;SOLUTION BUVABLE;;;;J05AF09;EMTRICITABINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;27DEC2004:00:00:00;;1;
0000009256238;D;N;N;O;N;N;EMTRIVA 200MG GELULE;EMTRIVA 200 mg, gelule;;;21;GELULE;64;ORAL(E);;;;J05AF09;EMTRICITABINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;27DEC2004:00:00:00;;1;
0000009256818;S;N;O;N;O;O;CARBOPLATINE SDZ 150 MG/15ML SOL INJ;CARBOPLATINE SANDOZ 10 mg/ml, solution pour perfusion;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009256824;S;N;O;N;O;O;CARBOPLATINE SDZ 450MG/45ML SOL INJ;CARBOPLATINE SANDOZ 10 MG/ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009256830;S;N;O;N;O;O;CARBOPLATINE SDZ 50 MG/5ML SOL INJ;CARBOPLATINE SANDOZ 10 MG/ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01X2;DERIVES DU PLATINE;21APR2005:00:00:00;;1;
0000009256965;D;N;O;N;N;O;VENTAVIS 20 MICROG INHAL AMP 2ML;VENTAVIS 10 microgrammes/ml, solution pour inhalation par nebuliseur ampoule 2 ml;;;48;SOLUTION;351;NE PAS AVALER SOLUTION POUR INHALATION P;0.1500;MG;INHALEE;B01AC11;ILOPROST;B01C4;ANTI-AGREGANTS PLAQUETTAIRES AUGMENTANT L'AMPc;11MAY2005:00:00:00;;2;
0000009257031;S;N;N;N;N;N;CALCIUM GLUCON AGT 10% INJ AB;CALCIUM GLUCONATE 10 POUR CENT AGUETTANT, SOLUTION INJECTABLE;;;48;SOLUTION;295;SOLUTION INJECTABLE;;;;A12AA03;CALCIUM GLUCONATE;A12A;CALCIUM;29JUL2004:00:00:00;;1;
0000009257315;S;N;O;N;O;O;FLUOROURACILE DKT 50MG/ML 200ML;FLUOROURACILE DAKOTA 50 MG/ML, SOLUTION A DILUER POUR PERFUSION;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01BC02;FLUOROURACILE;L01B;ANTIMETABOLITES;11MAY2005:00:00:00;;1;
0000009257806;S;N;N;O;N;N;ROFERON A 18MUI/0,5ML INJ SER;ROFERON A 18 MUI/0,5 ML, SOLUTION INJECTABLE EN SERINGUE PREREMPLIE;;;48;SOLUTION;295;SOLUTION INJECTABLE;2.0000;MU;INJECTABLE;L03AB04;INTERFERON ALFA-2A;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009258088;S;N;N;O;N;N;ADVATE 1000UI/5ML INJ;ADVATE 1000 UI, poudre et solvant pour solution injectable;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD02;FACTEUR VIII DE COAGULATION;B02D1;FACTEUR VIII;11MAY2005:00:00:00;;2;
0000009258094;S;N;N;O;N;N;ADVATE 1500UI/5ML INJ;ADVATE 1500 UI, poudre et solvant pour solution injectable;;;44;POUDRE;314;;;;;B02BD02;FACTEUR VIII DE COAGULATION;B02D1;FACTEUR VIII;11MAY2005:00:00:00;;2;
0000009258102;S;N;N;O;N;N;ADVATE 250UI/5ML INJ;ADVATE 250 UI, poudre et solvant pour solution injectable;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD02;FACTEUR VIII DE COAGULATION;B02D1;FACTEUR VIII;11MAY2005:00:00:00;;2;
0000009258119;S;N;N;O;N;N;ADVATE 500UI/5ML INJ;ADVATE 500 UI, poudre et solvant pour solution injectable;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD02;FACTEUR VIII DE COAGULATION;B02D1;FACTEUR VIII;11MAY2005:00:00:00;;2;
0000009258504;D;O;N;N;N;O;ZEVALIN 1,6MG/ML TROUSSE INJ;ZEVALIN 1,6 MG/ML, TROUSSE POUR PREPARATION RADIOPHARMACEUTIQUE POUR PERFUSION;;;70;TROUSSE RADIO-PHARMACEUTIQUE;483;TROUSSE POUR PREP RADIOPHARMACEUTIQUE;;;;V10XX02;IBRITUMOMAB TIUXETAN 90 Y-YTTRIUM;L01G;ANTICORPS MONOCLONAUX ANTICANCEREUX;11MAY2005:00:00:00;;2;
0000009258697;D;N;N;O;N;N;REYATAZ 150MG GELULE;REYATAZ 150 mg, gelule;;;21;GELULE;64;NE PAS OUVRIR ORAL(E);;;;J05AE08;ATAZANAVIR;J05C2;INHIBITEURS DE PROTEASE;31DEC2005:00:00:00;;1;
0000009258705;D;N;N;O;N;N;REYATAZ 200MG GELULE;REYATAZ 200 mg, gelule;;;21;GELULE;64;NE PAS OUVRIR ORAL(E);;;;J05AE08;ATAZANAVIR;J05C2;INHIBITEURS DE PROTEASE;31DEC2005:00:00:00;;1;
0000009259001;S;N;O;N;O;O;PAXENE 6MG/ML SOL INJ FL 16,7ML;PAXENE 6 mg/ml, solution a diluer pour perfusion;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CD01;PACLITAXEL;L01C;ANTINEOPLASIQUES D'ORIGINE VEGETALE;11MAY2005:00:00:00;28FEB2010:00:00:00;3;RADIATION
0000009259018;S;N;O;N;O;O;PAXENE 6MG/ML SOL INJ FL 50ML;PAXENE 6 mg/ml, solution a diluer pour perfusion;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CD01;PACLITAXEL;L01C;ANTINEOPLASIQUES D'ORIGINE VEGETALE;11MAY2005:00:00:00;28FEB2010:00:00:00;3;RADIATION
0000009259082;D;N;O;N;N;N;FEIBA 1000 U/20 ML PDR INJ + BJ;FEIBA 1000 U/20 ml, poudre et solvant pour solution injectable;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD03;COMPLEXE PROTHROMBIQUE ACTIVE;B02D3;COMPLEXE ANTI-INHIBITEUR DE LA COAGULATION;14JUL2010:00:00:00;;1;
0000009259099;D;N;O;N;N;N;FEIBA 500 U/20 ML PDR INJ + BJ;FEIBA 500 U/20 ml, poudre et solvant pour solution injectable;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD03;COMPLEXE PROTHROMBIQUE ACTIVE;B02D3;COMPLEXE ANTI-INHIBITEUR DE LA COAGULATION;14JUL2010:00:00:00;;1;
0000009259113;D;N;O;N;O;O;AMSALYO 75MG PDR INJ;AMSALYO 75 mg, poudre pour solution pour perfusion;;;44;POUDRE;322;LYOPHILISE(E) POUDRE POUR SOLUTION POUR;;;;L01XX01;AMSACRINE;L01X9;AUTRES ANTINEOPLASIQUES;11MAY2005:00:00:00;;1;
0000009259509;D;N;O;N;N;O;LYSODREN 500MG CPR;LYSODREN 500 MG, COMPRIME;;;15;COMPRIME;330;SECABLE COMPRIME;;;;L01XX23;MITOTANE;L02B9;AUTRES ANTIHORMONES CYTOSTATIQUES;27DEC2004:00:00:00;;1;
0000009259691;D;N;O;N;O;O;CARBOPLATINE TVC 600 MG/60ML SOL INJ;CARBOPLATINE TEVA 10 MG/ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009260010;D;N;O;N;O;O;VELCADE 3,5 MG PDR SOL INJ;VELCADE 3,5 mg, poudre pour solution injectable;;;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE;;;;L01XX32;BORTEZOMIB;L01X9;AUTRES ANTINEOPLASIQUES;22SEP2006:00:00:00;;1;
0000009261050;D;O;N;N;N;O;DEPOCYTE 50 MG SUSP INJ;DEPOCYTE 50 MG, SUSPENSION INJECTABLE;;;50;SUSPENSION;281;SUSPENSION INJECTABLE;;;;L01BC01;CYTARABINE;L01B;ANTIMETABOLITES;19JAN2006:00:00:00;;2;
0000009261110;D;O;N;N;N;O;AVASTIN 400 MG SOL INJ;AVASTIN 25 mg/ml, solution a diluer pour perfusion, flacon de 16 ml;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01XC07;BEVACIZUMAB;L01G;ANTICORPS MONOCLONAUX ANTICANCEREUX;23SEP2005:00:00:00;;2;
0000009261788;D;N;O;N;N;N;VFEND 40MG/ML PDR ORALE FL;VFEND 40 mg/ml poudre pour suspension buvable;;;44;POUDRE;331;POUDRE POUR SUSPENSION BUVABLE;;;;J02AC03;VORICONAZOLE;J02A;AGENT SYSTEMIQUE POUR INFECTIONS FONGIQUES;31DEC2005:00:00:00;31MAY2016:00:00:00;1;RADIATION
0000009261908;D;N;N;O;N;N;RETROVIR 100 MG/10 ML SOL BUV+SRG 1;RETROVIR 100 mg/10 ml, solution buvable;;;48;SOLUTION;292;SOLUTION BUVABLE;;;;J05AF01;ZIDOVUDINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;11MAY2005:00:00:00;;1;
0000009261966;D;N;N;O;N;N;TELZIR 700 MG CPR;TELZIR 700 mg, comprime pellicule;;;15;COMPRIME;307;NE PAS ECRASER COMPRIME PELLICULE;;;;J05AE07;FOSAMPRENAVIR;J05C2;INHIBITEURS DE PROTEASE;27DEC2004:00:00:00;;1;
0000009262919;S;N;O;N;O;O;TAXOL 150 MG SOL INJ;TAXOL 150 MG/25 ML, SOLUTION A DILUER POUR PERFUSION;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CD01;PACLITAXEL;L01C;ANTINEOPLASIQUES D'ORIGINE VEGETALE;11MAY2005:00:00:00;22FEB2017:00:00:00;1;RADIATION
0000009264663;D;N;N;O;N;N;KOGENATE BAY 1000 UI INJ + S;KOGENATE BAYER 1000 UI, poudre et solvant pour solution injectable;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD02;FACTEUR VIII DE COAGULATION;B02D1;FACTEUR VIII;31DEC2005:00:00:00;;1;
0000009264930;D;N;N;O;N;N;TELZIR 50 MG/ML SUSP BUV;TELZIR 50 mg/ml, suspension buvable;;;50;SUSPENSION;284;SUSPENSION BUVABLE;;;;J05AE07;FOSAMPRENAVIR;J05C2;INHIBITEURS DE PROTEASE;11MAY2005:00:00:00;;1;
0000009266567;D;N;O;N;O;O;ELOXATINE 100 MG SOL INJ;ELOXATINE 100 MG/20 ML, SOLUTION A DILUER POUR PERFUSION;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01XA03;OXALIPLATINE;L01X2;DERIVES DU PLATINE;22SEP2006:00:00:00;;1;
0000009267928;S;N;O;N;O;O;CARBOPLATINE DKT 600MG/60ML INJ;CARBOPLATINE DAKOTA PHARM 10 MG/ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01X2;DERIVES DU PLATINE;31DEC2005:00:00:00;;1;
0000009267957;NC;N;O;N;O;O;CARBOPLATINE FDG 10MG INJ A/F45ML;CARBOPLATINE FAULDING 10 MG/ML, SOLUTION INJECTABLE POUR PERFUSION;;;48;SOLUTION;295;SOLUTION INJECTABLE SOLUTION POUR PERFUS;;;;L01XA02;CARBOPLATINE;L01X2;DERIVES DU PLATINE;31DEC2005:00:00:00;;1;
0000009268000;D;N;N;N;N;N;DUODOPA 20MG/ML + 5MG/ML GEL INTEST;DUODOPA 20 mg/ml + 5 mg/ml, gel intestinal;;;20;GEL;596;GEL INTESTINAL;;;;N04BA02;LEVODOPA ET INHIBITEUR DE LA DECARBOXYLASE;N04A;ANTIPARKINSONIEN;11DEC2008:00:00:00;;1;
0000009268052;S;N;N;O;N;N;REYATAZ 50MG/1,5G PDR ORALE;REYATAZ 50 MG/1,5 G, POUDRE ORALE;;;44;POUDRE;399;POUDRE ORALE;;;;J05AE08;ATAZANAVIR;J05C2;INHIBITEURS DE PROTEASE;31DEC2005:00:00:00;;1;
0000009268069;D;N;O;N;O;N;WILZIN 25MG GELULE;Wilzin 25 mg gelules;;;21;GELULE;328;GELULE ORAL(E);;;;A16AX05;ZINC ACETATE;A16A;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;16MAY2007:00:00:00;;1;
0000009268075;D;N;O;N;O;N;WILZIN 50MG GELULE;WILZIN 50 mg, gelule;;;21;GELULE;328;GELULE ORAL(E);;;;A16AX05;ZINC ACETATE;A16A;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;16MAY2007:00:00:00;;1;
0000009268081;D;N;O;N;N;N;BERINERT 500 UI PDR ET SOL INJ;BERINERT 500 UI, poudre et solvant pour solution injectable/perfusion 10 ml;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B06AC01;INHIBITEUR C1;B02C2;INHIBITEURS DU SYSTEME KALLICREINE-KININE;21NOV2009:00:00:00;;2;
0000009268158;D;N;O;N;O;O;ELDISINE 5MG PDR INJ;ELDISINE 5 MG, POUDRE POUR SOLUTION INJECTABLE;;;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE;;;;L01CA03;VINDESINE;L01C;ANTINEOPLASIQUES D'ORIGINE VEGETALE;05JUL2007:00:00:00;;1;
0000009268218;NC;N;O;N;O;O;ETOPOSIDE CPF 100MG/5ML SOL INJ;ETOPOSIDE COOPER 2 POUR CENT (100 MG/5 ML), SOLUTION A DILUER POUR PERFUSION;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CB01;ETOPOSIDE;L01C;ANTINEOPLASIQUES D'ORIGINE VEGETALE;11MAY2005:00:00:00;;1;
0000009268276;NC;N;O;N;O;O;FLUOROURACILE TVC 50MG/ML AMP 5ML;FLUOROURACILE TEVA 250 MG/5 ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01BC02;FLUOROURACILE;L01B;ANTIMETABOLITES;31DEC2005:00:00:00;;1;
0000009268282;NC;N;O;N;O;O;FLUOROURACILE TVC 50MG/ML AMP10ML;FLUOROURACILE TEVA 500 MG/10 ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01BC02;FLUOROURACILE;L01B;ANTIMETABOLITES;31DEC2005:00:00:00;;1;
0000009268388;D;N;O;N;O;O;MITOXANTRONE TVC 10MG/5ML SOL INJ;MITOXANTRONE TEVA 10 mg/5 ml, solution a diluer pour perfusion;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01DB07;MITOXANTRONE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;13JAN2010:00:00:00;;1;
0000009268394;S;N;O;N;O;O;MITOXANTRONE TVC 20MG/10ML INJ;MITOXANTRONE TEVA 20 mg/10 ml, solution a diluer pour perfusion;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01DB07;MITOXANTRONE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;13JAN2010:00:00:00;;1;
0000009268402;D;N;O;N;O;O;MITOXANTRONE TVC 25MG/12,5ML INJ;MITOXANTRONE TEVA 25 mg/12,5 ml, solution a diluer pour perfusion;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01DB07;MITOXANTRONE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;13JAN2010:00:00:00;;1;
0000009268508;D;N;O;N;O;O;ZAVEDOS 10MG SOL INJ FP;ZAVEDOS 10 MG/10 ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01DB06;IDARUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;16FEB2012:00:00:00;;1;
0000009268514;D;N;O;N;O;O;ZAVEDOS 10MG SOL INJ FV;ZAVEDOS 10 MG/10 ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01DB06;IDARUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;16FEB2012:00:00:00;;1;
0000009268520;D;N;O;N;O;O;ZAVEDOS 20MG SOL INJ FP;ZAVEDOS 20 MG/20 ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01DB06;IDARUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;16FEB2012:00:00:00;;1;
0000009268537;D;N;O;N;O;O;ZAVEDOS 20MG SOL INJ FV;ZAVEDOS 20 MG/20 ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01DB06;IDARUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;16FEB2012:00:00:00;;1;
0000009268543;D;N;O;N;O;O;ZAVEDOS 5MG SOL INJ FP;ZAVEDOS 5 MG/5 ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01DB06;IDARUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;16FEB2012:00:00:00;;1;
0000009268566;D;N;O;N;O;O;ZAVEDOS 5MG SOL INJ FV;ZAVEDOS 5 MG/5 ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01DB06;IDARUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;17DEC2011:00:00:00;31JUL2016:00:00:00;2;RADIATION
0000009269034;S;N;O;N;N;N;REPLAGAL 1MG/ML SOL INJ FL 1ML;REPLAGAL 1 MG/ML, SOLUTION A DILUER POUR PERFUSION;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;1.0000;MG;INJECTABLE;A16AB03;AGALSIDASE ALFA;A16A;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;31DEC2005:00:00:00;;1;
